bestandsnaam;titel;dossier;datum;entiteiten;relaties;wijk_of_kern
Bijlage 4a van de toelichting - Aerius gebruiksfase.pdf;AERIUS Projectberekening Melkveebedrijf Batenburg;Stikstof;2023-01-27;P.J. Aalberts, J.H. Bransma, Melkveebedrijf Batenburg, Jan van Nassauweg 12, De Wieden;;Giethoorn
Bijlage 4b van de toelichting - Aerius aanlegfase.pdf;Projectberekening AERIUS aanlegfase Jan van Nassauweg 12;Stikstof;2023-01-27;Melkveebedrijf Batenburg, Jan van Nassauweg, Natura 2000;;Giethoorn
Bijlage 5 - Aerius-berekening gebruiksfase.pdf;AERIUS-berekening gebruiksfase nieuwbouw woningen Oldemarktseweg 103;Stikstof;2022-11-10;M. ten Klooster, Oldemarktseweg 103, Natura 2000;;Steenwijkerwold en Witte paarden
Bijlage 5 - brief zienswijze raad Olst-Wijhe zienswijze taken RSJ naar de GGD.pdf;Zienswijze raad Olst-Wijhe over overheveling taken RSJ naar de GGD;Zienswijze GR;2025-06-23;Gemeente Olst-Wijhe, GGD IJsselland, RSJ IJsselland, Klaas-Jan Ritzema, Wethouder Compagner, Sietske Poepjes;Brief besturen GGD en RSJ (30 april), Vergadering Algemeen Bestuur (24 april), Raadsvergadering Olst-Wijhe (23 juni 2025);
Bijlage 5 - persbericht - College komt met aangescherpt Masterplan voor nieuw museum.pdf;College komt met aangescherpt Masterplan voor nieuw museum;Nieuw museum;2023-02-21;Wethouder Trijn Jongman, Spijkervetstallen, Stadsmuseum Steenwijk, Kermis- en Circusmuseum, Hildo Krop Museum, Historische Vereniging Steenwijk e.o., Galerie Steenwijk, Gasthuisstraat, Markt, Onnastraat, Kalverstraat, museumwerkgroep;Masterplan 'Op weg naar een nieuw museum in Steenwijkerland' (december 2021);Steenwijk Centrum / Binnenstad
Bijlage 5 - Programmabegroting 2026 GGD IJsselland.begeleidende brief gemeenteraden def.pdf;Begeleidende brief ontwerp-programmabegroting 2026 en meerjarenraming 2027-2029 GGD IJsselland;Zienswijze GR;2025-04-09;GGD IJsselland, Dagelijks bestuur GGD IJsselland, Algemeen bestuur GGD IJsselland, J. Homburg, Astrid Schulting, Rijk, Politie;Kaderbrief bij begroting 2026, Programmabegroting 2025, Jaarstukken 2024, Bestuursrapportage voorjaar 2025, Kadernota 2026;
Bijlage 5 - Windladder.pdf;Toelichting bij de Overijsselse windladder;Windenergie;2022-11-01;Provincie Overijssel, Natura 2000, NNN;Provinciale Omgevingsvisie 2022, Omgevingsverordening 2022, RESsen 1.0, Catalogus Gebiedskenmerken;
Bijlage 5 - Zienswijze indiener 4.pdf;Zienswijze tegen vestiging voorkeursrecht perceel IJsselham;Vestiging voorkeursrecht;2024-02-23;Benthem Gratama advocaten, Melkveebedrijf BEM, College van Burgemeester en Wethouders Steenwijkerland, Provincie Overijssel;Ontwerp raadsvoorstel d.d. 9 januari 2024, Besluit van het College d.d. 9 januari 2024, Brief gemeente d.d. 17 januari 2024, Bezwaarschrift tegen besluit College d.d. 9 januari 2024;Ijsselham
Bijlage 5 Boom effect analyse Zuiderzeeweg.pdf;Boom effect analyse (BEA) Zuiderzeeweg;Rondweg Blokzijl / Behoud en kap van bomen;2025-06-06;BOR cluster groen, circulariteit en biodiversiteit, C. Teurlinckx, A. ten Veen;Inspectie tekening (Bijlage 1), Advies m.b.t. bomen en groensingel Zuiderzeeweg van 15 januari (Bijlage 2);Blokzijl
bijlage 5 nota van wijziging Stadsvisie Steenwijk versie 28-10-2025.pdf;Nota van wijzigingen Stadsvisie Steenwijk;Stadsvisie;2025-10-28;CBS, Planbureau voor de Leefomgeving, Woldberg, Havelterberg, Wieden, Weerribben, Johan van den Kornput, Prins Maurits, Johan van den Kornputkazerne, Johannes Postkazerne, A32, Zuidveen, Rivier de Aa;Stadsvisie, woningmarktonderzoek (2025);Dolderkanaal, Eeserwold, Giethoorn, Groot Verlaat, Oostermeenthe, Paddenpoel en Kornputkwartier, Steenwijkerdiep, Tuk, Woldmeenthe
Bijlage 5 Onderzoeksrapport 2018 .pdf;Onderzoek en Advies Toekomst Gemeentearchief Steenwijkerland;Toekomst Gemeentearchief;2018-02-27;Brigit Hoomans, Historisch Centrum Overijssel (HCO), Gemeente Meppel, Gemeente Westerveld, Gemeente Zwolle, Gemeente Deventer, Het Rijk;Begroting gemeentearchief 2017;
BIJLAGE 5 Stappenplan voor een openbare selectieprocedure.pdf;Stappenplan voor een openbare selectieprocedure;Openbare selectieprocedure onroerende zaken;;Gemeente, College, Civiele rechter;;
Bijlage 5 van de toelichting - watertoets.pdf;Uitgangspuntennotitie Watertoets Jan van Nassauweg 12 te Giethoorn;Watertoets / Bedrijfsontwikkeling;;Batenburg, Waterschap Drents Overijsselse Delta, Provincie Overijssel, Provincie Drenthe;Waterbeheerplan 2016-2021, Beleidsnotitie stedelijk waterbeheer Water Raakt! (2015), Keur, Nationaal Bestuursakkoord Water (NBW), Stowa rapport 2015-10, Waterwet;Giethoorn
Bijlage 5- Weergave van wat we al doen in Steenwijkerland rondom de prioriteiten.pdf;Weergave van wat we al doen in Steenwijkerland rondom de prioriteiten;Gezondheid en Preventie;;Samen voor Ryan, Stichting Suïcidepreventie, Sjors Sportief en Creatief, Max Vitaal, Sam&Overijssel, Volwassenenfonds, Sociaal Werk De Kop, Tactus verslavingszorg, Het Alternatief (HALT), NIX 18;;
Bijlage 5. AERIUS verschilberekening.pdf;AERIUS verschilberekening Hoeve Montigny Kanaaldijk 5;Stikstof;2022-03-28;De Omgevingsadviseurs, Hoeve Montigny, Kanaaldijk 5, Dwingelderveld;;Giethoorn
Bijlage 5. Verslag informatieavond.pdf;Verslag informatieavond woningbouw Scheerwolde;Woningbouw;2019-01-17;Wetland Wonen Groep, Plaatselijk Belang Scheerwolde, Plaatselijk Belang Blankenham, Wethouder Scheringa, De heer Vaartjes, De heer Wittingen, De heer Bron, De Brink;;Scheerwolde, Blankenham
Bijlage 6 - Aerius-berekening aanlegfase.pdf;AERIUS-berekening aanlegfase Oldemarktseweg 103;Stikstof;2022-11-10;M. ten Klooster, Oldemarktseweg 103, Natura 2000;;Steenwijkerwold en Witte paarden
Bijlage 6 - Masterplan museum Steenwijk  Steenwijkerland.pdf;Masterplan op weg naar een nieuw museum in Steenwijkerland;Cultuur en Musea;2021-09-01;Studio Louter, OPERA Amsterdam, Hienke Alberts (Kwartiermaker Museumproject), Museumwerkgroep, Stadsmuseum Steenwijk, Hildo Krop Museum, Historische Vereniging Steenwijk en omgeving, Kermis- en Circusmuseum, Bureau de Wierde, Stichting Weerribben-Wieden, Markt, Spijkervetstallen, Villa Rams Woerthe, Hildo Krop;Haalbaarheidsonderzoek Bureau de Wierde (januari 2020), Programma Duurzaam Beleefbaar Toerisme, Uitvoeringsprogramma Binnenstad Steenwijk, Uitvoeringsprogramma Stationsgebied Steenwijk;Steenwijk Centrum / Binnenstad
Bijlage 6 - Raadsvoorstel 2024-RAAD-00010.pdf;Voorkeursrecht mogelijke windmolenlocaties;Duurzaamheid;2024-03-26;Arnold Vedder, Ton van Amerongen, Johannes Terpstra, Leon Pulles, M. Scheringa, RES-regio West-Overijssel, Provincie Overijssel, De Lende, Ossenzijlerweg, Kadaster;Collegebesluit van 9 januari 2024 (voorkeursrechtbeschikking), Omgevingswet, Omgevingsbesluit;Oldemarkt
Bijlage 6 - reactie besturen RSJ en GGD op zienswijze raad Olst-Wijhe (1).pdf;Reactie besturen GGD en RSJ op zienswijze gemeenteraad Olst-Wijhe;Zienswijze GR;;GGD, RSJ, Gemeenteraad Olst-Wijhe, GR RSJ;Zienswijze gemeenteraad Olst-Wijhe, Begroting 2026 (GGD/RSJ);
Bijlage 6 - Uitgezoomde grondtekening.pdf;Uitgezoomde grondtekening mogelijke opstelling windturbines Oldemarkt e.o.;Windturbines;2023-12-14;S.G. Zwerver;;Oldemarkt, Ossenzijl
bijlage 6 251029 BVR Stadsvisie Steenwijk definitief lowres spreads.pdf;Stadsvisie Steenwijk: stad en landschap dichtbij;Stadsvisie;2025-10-29;BVR adviseurs, Goudappel, Steenwijkertoren, Villa Rams Woerthe, Koloniën van Weldadigheid, Johan van den Kornput, Prins Maurits, Johannes Postkazerne;Omgevingsvisie Steenwijkerland, Stadsvisie Vollenhove, Stadsvisie Blokzijl, Participatieverslag Stadsvisie Steenwijk;Steenwijk Centrum / Binnenstad, Oostermeenthe, Woldmeenthe, Tuk, Paddenpoel en Kornputkwartier, Groot Verlaat, Dolderkanaal, Eeserwold
Bijlage 6 Aanmeldnotitie m.e.r..pdf;Aanmeldnotitie vormvrije m.e.r.-beoordeling Steenwijk - Jan Steenstraat;Woningbouw;2021-10-10;Adviesbureau Haver Droeze, Anita van Bommel, SVP, Lycens, Jan Steenstraat, Admiraal de Ruyterstraat, Vondelstraat, Rembrandtstraat, Paul Krugerstraat, Verlaatseweg, Bilderdijkstraat, Gasthuislaan, OBS De Samensprong, Basisschool De Wegwijzer, Woonzorgcentrum Voetelinkhuis, Tuba Moskee, Vrije Zendingsgemeente, Kindcentrum Willem Alexander;Bestemmingsplan ‘Steenwijk – Jan Steenstraat’, Bureauonderzoek en inventariserend veldonderzoek (BO en IVO-O), Jan Steenstraat, Steenwijk, 27 augustus 2021 (Lycens), VNG-publicatie 'Bedrijven en milieuzonering' (editie 2009), Wet milieubeheer, Besluit m.e.r., Europese Richtlijn Milieueffectbeoordeling (85/337/EEG);Steenwijk West
BIJLAGE 6 benchmark theatersubsidie.pdf;Benchmark theatersubsidie;Theatersubsidie;;Ogterop Meppel, De Tamboer Hoogeveen, Posthuis Heerenveen, T Voorhuis Emmeloord, Stadsgehoorzaal Kampen, Meenthe Steenwijk, Voorveghter Hardenberg, Theater Analyse Systeem;;
Bijlage 6 bij de toelichting - Watertoets.pdf;Watertoets Herziening bestemmingsplan Bergstein;Woningbouw;2021-03-22;Ruben Beens (Witpaard BV), Waterschap Drents Overijsselse Delta, Bart Mossel (Gemeente Steenwijkerland);Waterbeheerplan 2016-2021, Water Raakt!, Keur, verbreed gemeentelijke rioleringsplan (vGRP);Tuk
Bijlage 6 Informatienota 2021.pdf;Beëindiging voorbereiding toetreding Historisch Centrum Overijssel;Gemeentearchief;2021-12-14;Historisch Centrum Overijssel (HCO), T. Jongman, Roel Lensen, Johannes Terpstra, Rijk;Raadsbesluit 19 juni 2018;
BIJLAGE 6 Stappenplan bij uitzondering op een openbare selectieprocedure.pdf;Stappenplan bij uitzondering op een openbare selectieprocedure;Grondbeleid;;College, Civiele rechter;Uitgiftebeleid, Nota Grondbeleid;
Bijlage 6 van de toelichting - beleidskader voor kleine windmolens in de gemeente Steenwijkerland.pdf;Beleidskader voor kleine windmolens;Windenergie;2022-01-25;BCS, LTO, Bosch & Van Rijn, Energiecoöperaties;Raadsbesluit 25-01-2022, Motie 26 mei 2020, Uitgangspuntennotitie Kleine Windmolens, Locatieonderzoek kleine windmolens (2013), Landschapsontwikkelingsplan (LOP);Dolderkanaal, Groot Verlaat, Eeserwold, Oldemarkt
Bijlage 6- Overzicht gerelateerd beleid en bestaande samenwerkingsverbanden.pdf;Overzicht gerelateerd beleid en bestaande samenwerkingsverbanden;Gezondheidsbeleid;;GGD (GGD IJsselland), Sociaal Werk De Kop, kinderopvang, onderwijs (scholen, ROC's, besturen basisscholen), huisartsenpraktijken (Dokter Drenthe), verloskundigen (Verloskundigen Tjongerschans), kraamzorg, sportaanbieders, zorginstellingen (Noorderboog, thuiszorg, specialist ouderengeneeskunde), fysiotherapeuten, cultuurorganisaties (Meenthe, Cultuurklik, historische verenigingen), Taalpunt, de bibliotheek (Bibliotheek Kop van Overijssel), Tactus, Halt, politie, Noord West Groep (NWG), RIBW, Vluchtelingenwerk, woningcorporaties, VNN, Fietsersbond, Stichting Regenboog Steenwijkerland, Isala POP-poli, Stichting Lezen en Schrijven, provincie Overijssel, Omgevingsdienst IJsselland, Gemeenten IJsselland, Gemeenten regio IJssel-Vecht, Zorgverzekeraar, POH-er Jeugd GGZ;Preventief jeugdbeleid, Onderwijsachterstandenbeleid, Sport- en beweegbeleid, Cultuurbeleid, Beleidsplan laaggeletterdheid overgangsjaar 2023, Preventie- en handhavingsplan 2023-2026, Integraal veiligheidsplan 2023-2026, Visie op participatie 2020-2023, Armoede- en minimabeleid, Woonagenda Steenwijkerland 2022-2026, Mobiliteitsvisie en Fietsplan, Omgevingsvisie, Inclusiebeleid (regenboogbeleid 2022-2025), Steenwijkerlands Sport & Beweegakkoord, Gezond en Actief Leven Akkoord (GALA), Integraal Zorgakkoord (IZA);
Bijlage 7 - Korte juridische toelichting.pdf;Korte uitwerking van het voorkeursrecht;Vestiging voorkeursrecht windenergieproject;;College van burgemeester en wethouders, Gemeenteraad, Rechtbank, Afdeling bestuursrechtspraak van de Raad van State, Voorzieningenrechter;Omgevingswet, Omgevingsplan, Omgevingsvisie, Ontwerpraadsvoorstel-besluit;
Bijlage 7 - Standaard waterparagraaf.pdf;Digitale Watertoets - Standaard waterparagraaf korte procedure;Watertoets;2022-08-04;Waterschap Drents Overijsselse Delta;Waterbeheerplan 2016-2021, Water Raakt!, De Keur, verbreed gemeentelijke rioleringsplan (vGRP);
bijlage 7 Achtergrondrapportage mobiliteit - Stadsvisie Steenwijk.pdf;Achtergrondrapport mobiliteit Stadsvisie Steenwijk;Mobiliteit;2025-10-21;Gemeente Steenwijkerland, Regio Zwolle;Stadsvisie Steenwijk, Eerder uitgevoerde mobiliteitsstudie;Steenwijk Centrum / Binnenstad
Bijlage 7 Advies HCO OR.pdf;Advies Ondernemingsraad inzake toetreding tot GR HCO;Toetreding GR HCO;2025-08-19;M. de Graaf (Algemeen directeur / gemeentesecretaris), Ondernemingsraad Steenwijkerland, Historisch Centrum Overijssel (HCO), CNV, FNV, Deventer, Kermis- en Circusmuseum, Nienke Dirksen-Swenne, Luuk Slager;Adviesaanvraag d.d. 8 juli 2025, Collegevoorstel toetreding GR HCO, Onderzoeksrapport, Functiebeschrijvingen, Arbeidsvoorwaardenvergelijking, Reacties van CNV en FNV, Rapport van de gemeentearchivaris, Overlegvergadering 17 juli 2025;
Bijlage 7- Sustainable development goals (SDGs).pdf;Bijlage 7: Global goals;Gezondheidsbeleid;;;Gezondheidsbeleid 2023-2026;
Bijlage 8 - Concept-Zienswijze programmabegroting 2026, inclusief meerjarenraming 2027-2029.pdf;Zienswijze concept programmabegroting 2026 GGD IJsselland;Zienswijze GR;2025-06-24;GGD IJsselland, Alma van Bruggen, Annet ten Hoff, Rob Bats;Brief van 9 april 2025 inzake concept programmabegroting 2026, Brief van negen aangesloten gemeenten aan de vier gemeenschappelijke regelingen inzake bezuinigingsmogelijkheden;
Bijlage 8 - Financieel overzicht SPUK.pdf;Financieel overzicht SPUK;SPUK / Gezondheid en Preventie;;GGD, GGD IJsselland;Lokaal Sportakkoord, integraal uitvoeringsplan;
Bijlage 8 Ruimtescan_De Kamp.pdf;Ruimtescan De Kamp;Woningbouw;2025-06-10;Ruimtewerk, Bureau BVR, Zuidveen, Schansweg, Provincie Overijssel, Regio Zwolle;Afwegingskader wonen en werken Steenwijk 2040, 2024_RAAD_00068 De toekomst van wonen en werken in Steenwijk, Stadsvisie Steenwijk, Woonagenda Steenwijkerland 2022- 2026, Woondeal West-Overijssel 2025 t/m eind 2030, Regionale woonzorgvisie 2024-2026 West-Overijssel, Ambitiedocument, spoorzone Steenwijk 2040, Verstedelijkingstrategie Regio Zwolle;
Bijlage 8. Quick scan flora en fauna.pdf;Quickscan Wet natuurbescherming Kanaaldijk 5 te Giethoorn;Bestemmingsplanwijziging;2021-09-16;De Omgevingsadviseurs, Eco Reest BV, Provincie Overijssel;;Giethoorn
bijlage 9 Onderzoek Waterhuishouding De Kamp.pdf;Onderzoek Waterhuishouding De Kamp;Woningbouw en Waterhuishouding;2025-10-13;Sweco, Raad van State, Stichting Behoud De Kamp, N2000-gebied De Wieden, StAB, TNO, Royal Haskoning;Bestemmingsplan nieuwbouwlocatie De Kamp (2007), Uitspraak Raad van State, TNO Rapport (1994), TNO keileemkaart (2013), REGISII v2.2, Verkennend booronderzoek Royal Haskoning (2009), Keileemkartering Royal Haskoning (2019);
